㔵 ㄒㄧㄢˋ
㔶 ㄍㄨㄥˋ
㔷 ㄌㄡˋ
㔹 ㄌㄜˋ
㔺 ㄕˋ
㔼 ㄙㄨㄣˇ
㔽 ㄧㄠˋ
㔾 ㄐㄧㄝˊ
㔿 ㄗㄡˋ
㕁 ㄑㄩㄝˋ
㕂 ㄧㄣˊ
㕄 ㄓˋ
㕅 ㄐㄧㄚˇ
㕆 ㄏㄨˋ
㕇 ㄌㄚˊ
㕈 ㄏㄡˋ
㕉 ㄎㄜˋ
㕋 ㄐㄧㄥˋ
㕌 ㄞˋ
㕎 ㄜˋ
㕏 ㄔㄨˊ
㕐 ㄒㄧㄝˇ
㕑 ㄔㄨˊ
㕒 ㄨㄟˊ
㕕 ㄏㄨㄢˋ
㕖 ㄙㄨˋ
㕗 ㄧㄡˋ
㕙 ㄐㄩㄣˋ
㕚 ㄓㄠˇ
㕛 ㄒㄩˋ
㕜 ㄕˇ
㕟 ㄎㄨㄟˋ
㕡 ㄏㄜˊ
㕢 ㄍㄞˋ
㕣 ㄧㄢˇ
㕤 ㄑㄧㄡˊ
㕥 ㄧˇ
㕦 ㄏㄨㄚˋ
㕨 ㄈㄢˋ
㕩 ㄓㄤˋ
㕪 ㄉㄢˇ
㕫 ㄈㄤˇ
㕬 ㄙㄨㄥˋ
㕭 ㄠˋ
㕮 ㄈㄨˇ
㕯 ㄋㄟˋ
㕰 ㄏㄜˋ
㕱 ㄧㄡˊ
㕲 ㄏㄨㄚˊ
㕴 ㄔㄣˊ
㕵 ㄍㄨㄛˊ
㕷 ㄏㄨㄚˋ
㕸 ㄌㄧˋ
㕹 ㄈㄚˊ
㕺 ㄏㄠˊ
㕻 ㄆㄡˇ
㕽 ㄙˋ
㖀 ㄌㄜˋ
㖁 ㄌㄧㄣˋ
㖂 ㄧˋ
㖃 ㄏㄡˇ
㖅 ㄒㄩˋ
㖆 ㄑㄩˊ
㖇 ㄦˊ
㖏 ㄋㄟˋ
㖐 ㄨㄟˇ
㖑 ㄒㄧㄝˋ
㖒 ㄊㄧˊ
㖓 ㄏㄨㄥˊ
㖔 ㄊㄨㄣˇ
㖕 ㄅㄛˋ
㖖 ㄋㄧㄝˋ
㖗 ㄧㄣˊ
㖞 ㄨㄞ
㖟 ㄕㄡˋ
㖠 ㄅㄚˋ
㖡 ㄧㄝˋ
㖢 ㄐㄧˊ
㖣 ㄊㄡˋ
㖤 ㄏㄢˊ
㖥 ㄐㄩㄥˇ
㖦 ㄉㄨㄥˇ
㖧 ㄨㄣˇ
㖨 ㄌㄨˋ
㖩 ㄙㄡˇ
㖪 ㄍㄨㄛˊ
㖫 ㄌㄧㄥˊ
㖭 ㄊㄧㄢˇ
㖮 ㄌㄨㄣˊ
㖶 ㄧㄝˋ
㖷 ㄕˊ
㖸 ㄒㄩㄝˊ
㖹 ㄈㄣˋ
㖺 ㄔㄨㄣˇ
㖻 ㄖㄡˊ
㖼 ㄉㄨㄛˇ
㖽 ㄗㄜˊ
㖾 ㄜˋ
㖿 ㄒㄧㄝˊ
㗁 ㄜˋ
㗂 ㄕㄥˇ
㗃 ㄨㄣˇ
㗄 ㄇㄢˊ
㗅 ㄏㄨˊ
㗆 ㄍㄜˊ
㗇 ㄒㄧㄚˊ
㗈 ㄇㄢˋ
㗉 ㄅㄧˋ
㗊 ㄐㄧˊ
㗋 ㄏㄡˊ
㗌 ㄓˋ
㗑 ㄅㄞˋ
㗒 ㄞˋ
㗕 ㄍㄡˋ
㗖 ㄉㄢˋ
㗗 ㄅㄞˇ
㗘 ㄅㄛˊ
㗙 ㄋㄚˋ
㗚 ㄌㄧˋ
㗛 ㄒㄧㄠˋ
㗜 ㄒㄧㄡˋ
㗢 ㄉㄨㄥˋ
㗣 ㄊㄧˋ
㗤 ㄘㄨˋ
㗥 ㄎㄨㄛˋ
㗦 ㄌㄠˊ
㗧 ㄓˋ
㗨 ㄞˇ
㗫 ㄑㄧㄝˋ
㗰 ㄔㄨˋ
㗱 ㄐㄧˊ
㗲 ㄏㄨㄛˋ
㗳 ㄊㄚˇ
㗴 ㄧㄢˊ
㗵 ㄒㄩˋ
㗷 ㄙㄞˇ
㗼 ㄧㄝˋ
㗽 ㄒㄧㄤˇ
㗿 ㄒㄧㄚˋ
㘀 ㄗㄨㄛˋ
㘁 ㄧˋ
㘂 ㄘˊ
㘅 ㄒㄧㄢˊ
㘆 ㄊㄞˊ
㘇 ㄖㄨㄥˊ
㘈 ㄧ
㘉 ㄓˋ
㘊 ㄧˋ
㘋 ㄒㄧㄢˊ
㘌 ㄐㄩˋ
㘍 ㄐㄧˊ
㘎 ㄏㄢˇ
㘐 ㄆㄠˋ
㘑 ㄌㄧˋ
㘓 ㄌㄢˊ
㘔 ㄘㄢˇ
㘕 ㄏㄢˇ
㘖 ㄧㄢˊ
㘙 ㄧㄢˊ
㘚 ㄏㄢˇ
㘜 ㄔˇ
㘝 ㄋㄧㄢˇ
㘞 ㄏㄨㄛˋ
㘠 ㄅㄧˋ
㘡 ㄒㄧㄚˊ
㘢 ㄨㄥˇ
㘣 ㄒㄩㄢˊ
㘥 ㄧㄡˊ
㘦 ㄑㄧㄣˊ
㘧 ㄒㄩˋ
㘨 ㄋㄟˋ
㘩 ㄅㄧˋ
㘪 ㄏㄠˋ
㘫 ㄐㄧㄥˇ
㘬 ㄠˋ
㘭 ㄠˋ
㘲 ㄐㄩˊ
㘴 ㄗㄨㄛˋ
㘵 ㄅㄨˋ
㘶 ㄐㄧㄝˊ
㘷 ㄞˋ
㘸 ㄗㄤˋ
㘹 ㄘˊ
㘺 ㄈㄚˊ
㘿 ㄋㄧㄝˋ
㙀 ㄌㄧㄡˋ
㙁 ㄇㄤˇ
㙂 ㄉㄨㄟˋ
㙄 ㄅㄧˋ
㙅 ㄅㄠˇ
㙇 ㄔㄨˋ
㙈 ㄏㄢˊ
㙉 ㄊㄧㄢˇ
㙊 ㄔㄤˊ
㙏 ㄈㄨˋ
㙐 ㄉㄨㄛˇ
㙑 ㄩˇ
㙒 ㄧㄝˇ
㙓 ㄎㄨㄟˊ
㙔 ㄏㄢˊ
㙕 ㄎㄨㄞˋ
㙗 ㄎㄨㄞˋ
㙙 ㄌㄨㄥˇ
㙛 ㄅㄨˇ
㙜 ㄔˊ
㙝 ㄒㄧㄝˊ
㙞 ㄋㄧㄝˋ
㙟 ㄌㄤˇ
㙠 ㄧˋ
㙢 ㄇㄢˊ
㙣 ㄓㄤˋ
㙤 ㄒㄧㄚˋ
㙥 ㄍㄨㄣˇ
㙨 ㄐㄧˋ
㙩 ㄌㄧㄠˊ
㙪 ㄧㄝˋ
㙫 ㄐㄧˊ
㙬 ㄧㄣˊ
㙯 ㄧˋ
㙰 ㄒㄧㄝˋ
㙱 ㄏㄠˋ
㙲 ㄩㄥˇ
㙳 ㄏㄢˇ
㙴 ㄔㄢˋ
㙵 ㄊㄞˊ
㙶 ㄊㄤˊ
㙷 ㄓˊ
㙸 ㄅㄠˋ
㙹 ㄇㄥˊ
㙺 ㄍㄨㄟˋ
㙻 ㄔㄢˊ
㙼 ㄌㄟˇ
㙾 ㄒㄧˋ
㚁 ㄑㄧㄠˊ
㚂 ㄖㄤˊ
㚃 ㄩㄣˊ
㚅 ㄌㄨㄥˊ
㚆 ㄈㄨˋ
㚉 ㄍㄨˇ
㚌 ㄏㄨㄚˋ
㚍 ㄍㄨㄛˊ
㚏 ㄍㄠˇ
㚐 ㄊㄠˋ
㚒 ㄕㄢˇ
㚓 ㄌㄞˊ
㚔 ㄋㄧㄝˋ
㚕 ㄈㄨˊ
㚖 ㄍㄠˇ
㚗 ㄑㄧㄝˊ
㚘 ㄅㄢˋ
㚛 ㄒㄧˋ
㚜 ㄒㄩˋ
㚝 ㄎㄨㄟˊ
㚞 ㄇㄥˇ
㚟 ㄔㄨㄛˋ
㚡 ㄐㄧˇ
㚢 ㄋㄨˊ
㚣 ㄒㄧㄠˊ
㚤 ㄧˋ
㚥 ㄩˊ
㚦 ㄧˊ
㚧 ㄧㄢˇ
㚩 ㄖㄢˇ
㚪 ㄏㄠˋ
㚫 ㄕㄚˋ
㚭 ㄧㄡˊ
㚯 ㄒㄧㄣˊ
㚰 ㄅㄧˇ
㚲 ㄉㄧㄢˇ
㚴 ㄅㄨˋ
㚶 ㄙˋ
㚷 ㄦˇ
㚹 ㄇㄠˇ
㚺 ㄩㄣˋ
㚽 ㄑㄧㄠˇ
㚿 ㄆㄠˊ
㛂 ㄋㄨㄛˇ
㛃 ㄐㄧㄝˊ
㛅 ㄦˋ
㛆 ㄉㄨㄛˇ
㛊 ㄉㄨㄛˇ
㛍 ㄑㄧㄝˋ
